Loan_ID,Loan_Status
LP001015,Y
LP001022,Y
LP001031,0
LP001035,Y
LP001051,0
LP001054,0
LP001055,Y
LP001056,0
LP001059,Y
LP001067,Y
LP001078,Y
LP001082,Y
LP001083,0
LP001094,0
LP001096,Y
LP001099,Y
LP001105,Y
LP001107,Y
LP001108,0
LP001115,Y
LP001121,Y
LP001124,Y
LP001128,Y
LP001135,Y
LP001149,0
LP001153,0
LP001163,Y
LP001169,Y
LP001174,Y
LP001176,Y
LP001177,Y
LP001183,Y
LP001185,Y
LP001187,Y
LP001190,Y
LP001203,0
LP001208,0
LP001210,Y
LP001211,Y
LP001219,Y
LP001220,Y
LP001221,Y
LP001226,Y
LP001230,0
LP001231,Y
LP001232,0
LP001237,Y
LP001242,Y
LP001268,Y
LP001270,Y
LP001284,Y
LP001287,Y
LP001291,Y
LP001298,Y
LP001312,Y
LP001313,0
LP001317,Y
LP001321,Y
LP001323,0
LP001324,Y
LP001332,Y
LP001335,Y
LP001338,0
LP001347,0
LP001348,Y
LP001351,Y
LP001352,0
LP001358,0
LP001359,Y
LP001361,0
LP001366,Y
LP001368,Y
LP001375,Y
LP001380,Y
LP001386,Y
LP001400,Y
LP001407,Y
LP001413,Y
LP001415,Y
LP001419,Y
LP001420,0
LP001428,Y
LP001445,0
LP001446,0
LP001450,0
LP001452,Y
LP001455,Y
LP001466,Y
LP001471,Y
LP001472,Y
LP001475,Y
LP001483,Y
LP001486,Y
LP001490,Y
LP001496,0
LP001499,Y
LP001500,0
LP001501,Y
LP001517,Y
LP001527,Y
LP001534,0
LP001542,0
LP001547,Y
LP001548,Y
LP001558,Y
LP001561,Y
LP001563,0
LP001567,Y
LP001568,Y
LP001573,Y
LP001584,0
LP001587,Y
LP001589,0
LP001591,Y
LP001599,Y
LP001601,Y
LP001607,0
LP001611,0
LP001613,0
LP001622,0
LP001627,0
LP001650,Y
LP001651,0
LP001652,0
LP001655,0
LP001660,Y
LP001662,0
LP001663,0
LP001667,0
LP001695,Y
LP001703,0
LP001718,0
LP001728,0
LP001735,Y
LP001737,0
LP001739,Y
LP001742,0
LP001757,0
LP001769,Y
LP001771,Y
LP001785,0
LP001787,Y
LP001789,0
LP001791,0
LP001794,0
LP001797,Y
LP001815,Y
LP001817,0
LP001818,Y
LP001822,Y
LP001827,Y
LP001831,Y
LP001842,Y
LP001853,0
LP001855,Y
LP001857,Y
LP001862,0
LP001867,Y
LP001878,0
LP001881,Y
LP001886,0
LP001906,0
LP001909,Y
LP001911,Y
LP001921,Y
LP001923,0
LP001933,0
LP001943,Y
LP001950,0
LP001959,Y
LP001961,Y
LP001973,0
LP001975,Y
LP001979,0
LP001995,0
LP001999,Y
LP002007,Y
LP002009,Y
LP002016,Y
LP002017,Y
LP002018,Y
LP002027,Y
LP002028,Y
LP002042,0
LP002045,0
LP002046,Y
LP002047,Y
LP002056,Y
LP002057,Y
LP002059,Y
LP002062,Y
LP002064,Y
LP002069,0
LP002070,0
LP002077,Y
LP002083,Y
LP002090,0
LP002096,Y
LP002099,0
LP002102,Y
LP002105,Y
LP002107,0
LP002111,Y
LP002117,Y
LP002118,Y
LP002123,Y
LP002125,Y
LP002148,Y
LP002152,0
LP002165,Y
LP002167,Y
LP002168,0
LP002172,0
LP002176,Y
LP002183,Y
LP002184,Y
LP002186,0
LP002192,Y
LP002195,Y
LP002208,Y
LP002212,Y
LP002240,Y
LP002245,0
LP002253,Y
LP002256,0
LP002257,Y
LP002264,Y
LP002270,Y
LP002279,Y
LP002286,0
LP002294,Y
LP002298,Y
LP002306,Y
LP002310,Y
LP002311,Y
LP002316,0
LP002321,0
LP002325,0
LP002326,Y
LP002329,0
LP002333,Y
LP002339,0
LP002344,Y
LP002346,0
LP002354,Y
LP002355,0
LP002358,Y
LP002360,0
LP002375,0
LP002376,Y
LP002383,0
LP002385,Y
LP002389,Y
LP002394,Y
LP002397,Y
LP002399,0
LP002400,0
LP002402,0
LP002412,Y
LP002415,0
LP002417,Y
LP002420,Y
LP002425,Y
LP002433,Y
LP002440,Y
LP002441,Y
LP002442,0
LP002445,Y
LP002450,0
LP002471,0
LP002476,Y
LP002482,0
LP002485,0
LP002495,0
LP002496,0
LP002523,Y
LP002542,Y
LP002550,Y
LP002551,0
LP002553,0
LP002554,Y
LP002561,Y
LP002566,Y
LP002568,Y
LP002570,Y
LP002572,0
LP002581,0
LP002584,0
LP002592,0
LP002593,Y
LP002599,Y
